kTrial.keys,kTrial.corr,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,cur_block_file_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition,participant,session,date,expName,psychopyVersion,frameRate,kPause.keys,kPause.rt,kTrial.rt
,0,1,0,3,0,1,2,tBlock01.csv,1,0,4,3,1,3,stimuli/block_01_trial_003.png,stimuli\block_01_trial_003.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,L,z,1,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,
,0,1,0,3,0,1,2,tBlock01.csv,1,0,4,0,1,3,stimuli/block_01_trial_000.png,stimuli\block_01_trial_000.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,R,slash,5,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,
,0,1,0,3,0,1,2,tBlock01.csv,1,0,4,1,1,3,stimuli/block_01_trial_001.png,stimuli\block_01_trial_001.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,R,slash,1,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,
,0,1,0,3,0,1,2,tBlock01.csv,1,0,4,2,1,3,stimuli/block_01_trial_002.png,stimuli\block_01_trial_002.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,R,slash,5,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,
,,1,0,3,0,1,2,tBlock01.csv,,,,,,,,,,,,,,,,,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,space,2.394,
left,0,1,0,3,1,1,2,tBlock02.csv,1,0,4,1,1,3,stimuli/block_02_trial_005.png,stimuli\block_02_trial_005.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,L,z,3,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,1.094
right,0,1,0,3,1,1,2,tBlock02.csv,1,0,4,2,1,3,stimuli/block_02_trial_006.png,stimuli\block_02_trial_006.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,L,z,7,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,0.797
left,0,1,0,3,1,1,2,tBlock02.csv,1,0,4,3,1,3,stimuli/block_02_trial_007.png,stimuli\block_02_trial_007.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,R,slash,7,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,0.749
left,0,1,0,3,1,1,2,tBlock02.csv,1,0,4,0,1,3,stimuli/block_02_trial_004.png,stimuli\block_02_trial_004.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,L,z,7,1,001,2019-07-24_02h30.47.464,popout_cindy,3.1.2,60,,,0.731
